FundingModel,AdmissionRate,ACTMedian,SATAverage,AverageCost,MedianEarnings
Private,0.6659,25,1131,57203,38200
Private,0.2605,30,1352,60059,52500
Private,0.6633,23,1038,38829,37600
Private,0.7407,22,1039,39014,46800
Private,0.9671,20,915,34586,39200
Private,0.7683,23,1043,50625,51000
Private,0.7474,23,986,38860,30600
Private,0.7523,30,1303,50199,62000
Private,0.5859,17,928,21593,23900
Private,0.5572,26,1140,54582,37300
Private,0.412,29,1366,59470,70100
Private,0.726,23,1046,38826,37600
Private,0.6016,28,1232,45772,54000
Private,0.3568,31,1353,59156,50200
Private,0.7999,24,1075,41265,38400
Private,0.4121,22,1015,23992,56100
Private,0.8224,19,931,36823,39100
Private,0.6805,25,1122,45452,49400
Private,0.3505,28,1247,58562,41900
Private,0.7538,23,1054,25290,47800
Private,0.6277,25,1095,39014,41400
Private,0.5316,24,1093,50233,48000
Public,0.5494,24,1090,21127,35600
Public,0.7309,19,975,21178,29900
Public,0.5264,21,969,15258,44200
Public,0.5898,19,930,22083,29400
Public,0.5545,24,1102,21249,44100
Public,0.4287,29,1297,21966,52100
